sk_payer_id,payer_external_id,payer_name,payer_type,bin_number,pcn_number,group_number,contact_phone,specialty_pharmacy_network,is_active,created_date,updated_date
1,PAY-0001,United Healthcare,Commercial,320759,PCN7866,GRP-58799,610.902.1946x7232,1,1,2020-02-15,2022-07-27
2,PAY-0002,Cigna,Commercial,572623,PCN3947,GRP-84895,(532)590-9279x14560,0,1,2020-08-12,2022-04-14
3,PAY-0003,Aetna,Commercial,953740,PCN2636,GRP-45382,581-695-8837,1,1,2020-07-22,2023-06-05
4,PAY-0004,Blue Cross Blue Shield,Commercial,997904,PCN7240,GRP-35698,2317277220,0,1,2019-06-03,2023-08-27
5,PAY-0005,Humana,Commercial,944804,PCN1159,GRP-33148,236-945-9701x0822,1,1,2019-05-18,2023-11-25
6,PAY-0006,Molina Healthcare,Medicaid,659921,PCN6172,GRP-73782,511.337.9956x35315,1,1,2020-07-29,2021-04-08
7,PAY-0007,Centene,Medicaid,517754,PCN2621,GRP-31409,263.863.1797,0,1,2019-09-18,2023-09-03
8,PAY-0008,WellCare,Medicaid,979725,PCN2577,GRP-68963,(539)772-6527,1,1,2019-09-24,2023-01-10
9,PAY-0009,Medicare Part D,Medicare,477808,PCN5222,GRP-55107,835-420-9042x177,0,1,2019-05-05,2022-12-21
10,PAY-0010,SilverScript,Medicare,812597,PCN4259,GRP-85609,001-953-549-2929x831,1,1,2020-10-26,2021-12-24
11,PAY-0011,Kaiser Permanente,Commercial,918213,PCN5663,GRP-56544,001-877-540-6335,1,1,2020-06-06,2023-09-26
12,PAY-0012,Anthem,Commercial,912378,PCN8322,GRP-20277,001-229-806-0078,1,1,2019-10-21,2023-08-08
13,PAY-0013,Magellan Rx,Commercial,762398,PCN3373,GRP-31964,667.517.7318x06325,1,1,2019-12-12,2023-05-14
14,PAY-0014,CVS Caremark,Commercial,761938,PCN7631,GRP-19351,+1-810-474-2799x0772,0,1,2019-12-18,2022-04-13
15,PAY-0015,Express Scripts,Commercial,428709,PCN6191,GRP-95591,(570)316-5804x649,0,1,2019-10-01,2023-03-21
16,PAY-0016,OptumRx,Commercial,384424,PCN8289,GRP-57600,+1-750-785-0165x790,1,1,2020-06-17,2023-07-12
17,PAY-0017,Tricare,Commercial,534098,PCN3741,GRP-34102,(381)983-2538,1,1,2019-05-09,2022-04-26
18,PAY-0018,Veterans Affairs,Commercial,794180,PCN5122,GRP-20494,001-793-935-5486x401,0,1,2020-02-11,2021-07-30
19,PAY-0019,Manufacturer PAP,Manufacturer Copay,200195,PCN2045,GRP-72021,988.317.8847x9513,1,1,2019-01-27,2023-03-25
20,PAY-0020,Bridge Program,Manufacturer Copay,649435,PCN2363,GRP-23622,462-941-1241,0,1,2019-06-09,2021-06-22
